SKU,Name,Category,Color,Size,Price
LLMH09,Abominable Hoodie,men:tops:hoodies_sweatshirts,blue,s,69
LLWJ08,Adrienne Trek Jacket,women:tops:jackets,,,57
LLMS01,Aero Daily Fitness Tee,men:tops:tees,black,s,24
24-UG06,Affirm Water Bottle,products:gear:fitness,,,7
24-MG04,Aim Analog Watch,products:gear:watches,,,45
LLMH12,Ajax Full-Zip Sweatshirt,men:tops:hoodies_sweatshirts,blue,s,69
LLWSH10,Ana Running Short,women:bottoms:shorts,black,28,40
LLWT08,Antonia Racer Tank,women:tops:bras_tanks,black,xs,34
LLMT11,Atlas Fitness Tank,men:tops:tanks,blue,s,18
LLWH03,Autumn Pullie,women:tops,red,xs,57
24-WG01,Bolo Sport Watch,products:gear:watches,,,49
Luma-WT09,Breathe Easy Tank,women:tops:bras_tanks,purple,xs,34
LLWH08,Cassia Funnel Sweatshirt,women:tops:hoodies,white,xs,48
LLMT12,Cassius Sparring Tank,men:tops:tanks,blue,s,18
LLWH12,Circe Hooded Ice Fleece,women:tops:hoodies,gray,xs,68
24-WG03,Clamber Watch,products:gear:watches,,,54
24-WB02,Compete Track Tote,products:gear:bags,,,32
LLMP12,Cronus Yoga Pant,men:bottoms:pants,black,32,38.4
24-MG05,Cruise Dual Analog Watch,products:gear:watches,,,55
LLWH06,Daphne Full-Zip Hoodie,women:tops:hoodies,purple,xs,59
LLWP10,Daria Bikram Pant,women:bottoms:pants,gray,28,40.8
24-MG02,Dash Digital Watch,products:gear:watches,,,92
LLMS07,Deion Long-Sleeve EverCoolª Tee,men:tops:tees,gray,s,39
LLWP12,Deirdre Relaxed-Fit Capri,women:bottoms:pants,gray,28,50.4
LLWS05,Desiree Fitness Tee,women:tops:tees,yellow,xs,24
24-WG02,Didi Sport Watch,products:gear:watches,,,99
LLWS11,Diva Gym Tee,women:tops:tees,yellow,xs,32
Luma-24-WB03,Driven Backpack,products:gear:bags,,,36
24-UG07,Dual Handle Cardio Ball,products:gear:fitness,,,12
24-WB06,Endeavor Daytrip Backpack,products:gear:bags,,,33
24-MG01,Endurance Watch,products:gear:watches,,,49
LLWH11,Eos V-Neck Hoodie,women:tops:hoodies,blue,xs,54
LLWSH12,Erika Running Short,women:bottoms:shorts,purple,28,45
Luma-24-MB02,Fusion Backpack,products:gear:bags,,,59
24-UG05,Go-Get'r Pushup Grips,products:gear:fitness,,,19
LLMH11,Grayson Crewneck Sweatshirt,men:tops:hoodies_sweatshirts,white,s,64
LLWS01,Gwyn Endurance Tee,women:tops:tees,black,xs,24
24-UG03,Harmony Lumaflexª Strength Band Kit,products:gear:fitness,,,22
LLWH10,Helena Hooded Fleece,women:tops:hoodies,gray,xs,55
24-UB02,Impulse Duffle,products:gear:bags,,,74
LLWSH11,Ina Compression Short,women:bottoms:shorts,blue,28,49
LLWJ09,Jade Yoga Jacket,women:tops:jackets,blue,xs,32
LLWJ06,Juno Jacket,women:tops:jackets,purple,xs,77
LLMJ06,Jupiter All-Weather Trainer,men:tops:jackets,blue,s,56.99
LLWS10,Karissa V-Neck Tee,women:tops:tees,red,xs,32
LLMS10,Logan HeatTec¨ Tee,men:tops:tees,blue,s,24
LLWB05,Lucia Cross-Fit Bra,women:tops:bras_tanks,black,xs,39
24-WG09,Luma Analog Watch,products:gear:watches,,,43
LLMH10,Mach Street Sweatshirt,men:tops:hoodies_sweatshirts,blue,s,62
LLMH13,Marco Lightweight Active Hoodie,men:tops:hoodies_sweatshirts,blue,s,74
LLMJ10,Mars HeatTechª Pullover,men:tops:jackets,red,s,66
LLWH04,Miko Pullover Hoodie,women:tops:hoodies,blue,xs,69
LLWSH09,Mimi All-Purpose Short,women:bottoms:shorts,gray,28,44
LLMJ03,Montana Wind Jacket,men:tops:jackets,black,s,49
LLWJ10,Nadia Elements Shell,women:tops:jackets,yellow,xs,69
LLWJ11,Neve Studio Dance Jacket,women:tops:jackets,blue,xs,69
LLWJ12,Olivia 1/4 Zip Light Jacket,women:tops:jackets,blue,xs,77
LLMSH08,Orestes Fitness Short,men:bottoms,black,32,35
Luma-24-WB07,Overnight Duffle,products:gear:bags,,,45
LLMSH12,Pierce Gym Short,men:bottoms:shorts,red,32,27
LLWP13,Portia Capri,women:bottoms:pants,blue,28,39.2
LLWB04,Prima Compete Bra Top,women:tops:bras_tanks,blue,xs,24
LLMJ12,Proteus Fitness Jackshirt,men:tops:jackets,orange,s,45
24-UG02,Pursuit Lumaflexª Tone Band,products:gear:fitness,,,16
24-WB04,Push It Messenger Bag,products:gear:bags,,,45
24-UG01,Quest Lumaflexª Band,products:gear:fitness,,,19
LLWS12,Radiant Tee,women:tops:tees,orange,xs,22
LLMS02,Ryker LumaTechª Tee (V-neck),men:tops:tees,gray,s,28
24-WB05,Savvy Shoulder Tote,products:gear:bags,,,24
LLWH05,Selene Yoga Hoodie,women:tops:hoodies,white,xs,42
LLMT09,Sinbad Fitness Tank,men:tops:tanks,blue,s,29
LLMSH10,Sol Active Short,men:bottoms:shorts,blue,32,32
LLMT08,Sparta Gym Tank,men:tops:tanks,green,s,29
24-WG088,Sprite Foam Roller,products:gear:fitness,,,19
24-WG084,Sprite Foam Yoga Brick,products:gear:fitness,,,5
24-WG080,Sprite Yoga Companion Kit,products:gear:fitness,,,61
Luma-24-WG085,Sprite Yoga Straps,products:gear:fitness,,,52
LLMS08,Strike Endurance Tee,men:tops:tees,black,s,39
24-MG03,Summit Watch,products:gear:watches,,,54
LLWP11,Sylvia Capri,women:bottoms:pants,green,28,33.6
LLMT10,Tiberius Gym Tank,men:tops:tanks,yellow,s,18
LLMSH09,Troy Yoga Short,men:bottoms:shorts,blue,32,24
LLMJ11,Typhon Performance Fleece-lined Jacket,men:tops:jackets,black,s,60
Luma-24-WB01,Voyage Yoga Bag,products:gear:bags,,,32
24-UG04,Zing Jump Rope,products:gear:fitness,,,12
LLMP10,Orestes Yoga Pant,men:bottoms:pants,black,32,52.8
LLMP11,Aether Gym Pant,men:bottoms:pants,tan,32,59.2
LLMP09,Livingston All-Purpose Tight,men:bottoms:pants,black,32,60
LLMP08,Zeppelin Yoga Pant,men:bottoms:pants,green,32,65.6
LLMSH11,Arcadio Gym Short,men:bottoms:shorts,blue,32,20
LLWH07,Phoebe Zipper Sweatshirt,women:tops:hoodies,gray,xs,59
LLWH09,Ariel Roll Sleeve Sweatshirt,women:tops:hoodies,pruple,xs,39
